2011 super output area - lower layer,mnemonic,2011
Pembrokeshire 001A,W01000558,2058
Pembrokeshire 001B,W01000559,1451
Pembrokeshire 001C,W01000560,1207
Pembrokeshire 001D,W01000561,1256
Pembrokeshire 001E,W01000613,2218
Pembrokeshire 002A,W01000562,1696
Pembrokeshire 002B,W01000565,1873
Pembrokeshire 002C,W01000566,1546
Pembrokeshire 002D,W01000567,1988
Pembrokeshire 002E,W01000597,1161
Pembrokeshire 002F,W01000617,1487
Pembrokeshire 003A,W01000579,2352
Pembrokeshire 003B,W01000581,1464
Pembrokeshire 003C,W01000612,1841
Pembrokeshire 003D,W01000618,1877
Pembrokeshire 004A,W01000582,1659
Pembrokeshire 004B,W01000583,1445
Pembrokeshire 004C,W01000611,1664
Pembrokeshire 004D,W01000623,1973
Pembrokeshire 005A,W01000568,2301
Pembrokeshire 005B,W01000569,1327
Pembrokeshire 005C,W01000570,1474
Pembrokeshire 005D,W01000572,1850
Pembrokeshire 006A,W01000571,2260
Pembrokeshire 006B,W01000573,2496
Pembrokeshire 006C,W01000586,2202
Pembrokeshire 007A,W01000577,1598
Pembrokeshire 007B,W01000585,1408
Pembrokeshire 007C,W01000595,1923
Pembrokeshire 007D,W01000596,1509
Pembrokeshire 008A,W01000555,1416
Pembrokeshire 008B,W01000556,1149
Pembrokeshire 008C,W01000575,2517
Pembrokeshire 008D,W01000614,1405
Pembrokeshire 008E,W01000622,1536
Pembrokeshire 009A,W01000554,1826
Pembrokeshire 009B,W01000580,2336
Pembrokeshire 009C,W01000598,2219
Pembrokeshire 009D,W01000599,2150
Pembrokeshire 010A,W01000587,2003
Pembrokeshire 010B,W01000588,2157
Pembrokeshire 010C,W01000593,2763
Pembrokeshire 011A,W01000553,1232
Pembrokeshire 011B,W01000563,1207
Pembrokeshire 011C,W01000564,1211
Pembrokeshire 011D,W01000576,2262
Pembrokeshire 011E,W01000615,1535
Pembrokeshire 011F,W01000616,1093
Pembrokeshire 012A,W01000589,1152
Pembrokeshire 012B,W01000590,1087
Pembrokeshire 012C,W01000591,1187
Pembrokeshire 012D,W01000592,1304
Pembrokeshire 012E,W01000594,2254
Pembrokeshire 013A,W01000600,1658
Pembrokeshire 013B,W01000601,1544
Pembrokeshire 013C,W01000602,1306
Pembrokeshire 013D,W01000603,1897
Pembrokeshire 013E,W01000604,1514
Pembrokeshire 013F,W01000605,1834
Pembrokeshire 014A,W01000557,1532
Pembrokeshire 014B,W01000578,1671
Pembrokeshire 014C,W01000584,2083
Pembrokeshire 014D,W01000609,2408
Pembrokeshire 015A,W01000574,1877
Pembrokeshire 015B,W01000606,1650
Pembrokeshire 015C,W01000607,2060
Pembrokeshire 015D,W01000608,1434
Pembrokeshire 016A,W01000610,1710
Pembrokeshire 016B,W01000619,2112
Pembrokeshire 016C,W01000620,1030
Pembrokeshire 016D,W01000621,1554
,,
,,
,,
,"In order to protect against disclosure of personal information, records",
,have been swapped between different geographic areas. Some counts will,
,"be affected, particularly small counts at the lowest geographies",
